,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Marawi,PH,7.9986,124.2928,77.63,79,97,1.25,overcast clouds
173,Lensk,RU,60.7253,114.9278,27.77,65,99,10.07,overcast clouds
174,Arlit,NE,18.7369,7.3853,83.25,12,31,9.82,scattered clouds
175,Agadir,MA,30.4202,-9.5982,63.05,73,0,6.46,clear sky
176,Buta,CD,2.7858,24.73,68.59,98,100,2.28,overcast clouds
177,Visby,SE,57.6409,18.296,35.82,80,49,5.75,scattered clouds
178,Ciudad Real,ES,39.0,-4.0,58.05,59,0,4.0,clear sky
179,Walvis Bay,NA,-22.9575,14.5053,56.35,94,0,2.3,clear sky
180,Ambon,ID,-3.6954,128.1814,93.34,59,40,4.61,scattered clouds
181,Garoua,CM,9.3,13.4,86.07,48,70,4.85,broken clouds
182,Onega,RU,63.9061,38.1404,29.46,91,100,5.35,overcast clouds
183,Paita,PE,-5.0892,-81.1144,67.93,83,83,13.44,broken clouds
184,Alyangula,AU,-13.8483,136.4192,85.87,66,5,5.75,clear sky
185,Palasa,IN,18.7667,84.4167,82.47,79,91,7.49,overcast clouds
186,Numan,NG,9.4667,12.0333,81.91,59,100,11.21,overcast clouds
187,Nzerekore,GN,7.7562,-8.8179,70.39,96,100,2.77,light rain
188,Atar,MR,20.5169,-13.0499,82.49,13,0,11.21,clear sky
189,Onalaska,US,43.8844,-91.2351,48.06,84,100,12.66,overcast clouds
190,Oranjemund,NA,-28.55,16.4333,68.61,21,0,11.43,clear sky
191,Rio Grande,BR,-32.035,-52.0986,49.95,74,10,9.4,clear sky
192,Maloy,NO,61.9353,5.1136,46.13,83,100,23.09,overcast clouds
193,Tual,ID,-5.6667,132.75,83.44,75,54,18.52,broken clouds
194,Hilo,US,19.7297,-155.09,76.28,92,100,10.36,heavy intensity rain
195,Cobija,BO,-11.0267,-68.7692,77.97,67,60,1.45,broken clouds
196,La Fleche,FR,47.6982,-0.0755,52.05,78,97,6.49,overcast clouds
197,Nanortalik,GL,60.1432,-45.2371,37.09,84,100,4.59,overcast clouds
198,Shingu,JP,33.7333,135.9833,64.67,32,82,2.89,broken clouds
199,Tautira,PF,-17.7333,-149.15,79.65,73,83,6.71,broken clouds
200,Mayumba,GA,-3.432,10.6554,77.36,93,87,4.45,light rain
201,Whitehorse,CA,60.7161,-135.0538,46.09,82,100,13.8,light rain
202,Torbay,CA,47.6666,-52.7314,43.57,90,75,4.0,broken clouds
203,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,0,2.89,clear sky
204,Saldanha,ZA,-33.0117,17.9442,55.45,69,24,7.14,few clouds
205,Bathsheba,BB,13.2167,-59.5167,79.48,75,100,14.76,overcast clouds
206,Kamenka,RU,51.3223,42.7678,37.44,59,5,4.5,clear sky
207,Mahebourg,MU,-20.4081,57.7,72.25,94,20,1.14,few clouds
