City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Madang,PG,86.65,clear sky,-5.2246,145.7966,Comfort Inn Hotel
349,Kokopo,PG,85.21,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
352,Kampot,KH,77.05,light rain,10.6167,104.1833,Two Moons Hotel
355,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
358,Mecca,SA,80.98,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
368,Natal,BR,79.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
373,Boueni,YT,82.38,overcast clouds,-12.9025,45.0761,The feet in water
374,Cairns,AU,83.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
375,Honiara,SB,83.32,overcast clouds,-9.4333,159.95,Heritage Park Hotel
377,Alibag,IN,84.27,few clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
378,Camapua,BR,78.12,overcast clouds,-19.5314,-54.0439,Comercial Estrela
380,Dhoraji,IN,80.65,clear sky,21.7333,70.45,Hotel Sahjee Plaza & Guest House
381,Progreso,MX,86.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
383,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Base Lodging
385,Beira,MZ,75.29,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
386,Ukiah,US,75.65,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
387,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
388,Lorengau,PG,83.14,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
390,Las Vegas,US,83.08,clear sky,36.175,-115.1372,Plaza Hotel & Casino
392,Bandarbeyla,SO,82.58,overcast clouds,9.4942,50.8122,JABIR HOTEL
394,Port Keats,AU,86.58,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
395,Port-Gentil,GA,81.18,light rain,-0.7193,8.7815,Fengshui Residence
396,Coahuayana,MX,78.1,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
397,Bulalacao,PH,83.48,overcast clouds,12.3254,121.3435,By The Sea Hotels
401,Thana,PK,76.91,clear sky,34.6369,72.0739,Skeikh Malli Baba Hostel UOM
403,Labuhan,ID,82.38,overcast clouds,-6.8844,112.2051,DoubleFAG
409,Loandjili,CG,78.91,few clouds,-4.7561,11.8578,Résidence ARCHANGE
412,Dingle,PH,84.96,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
421,Doka,SD,87.69,scattered clouds,13.5167,35.7667,Um Rakuba Refugee Camp
427,Eyl,SO,83.34,light rain,7.9803,49.8164,Amiin Hotel
435,Neiafu,TO,86.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
436,Auki,SB,80.53,overcast clouds,-8.7676,160.7034,Auki Motel
439,Mango,US,76.91,moderate rain,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
442,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
444,Andros Town,BS,78.76,clear sky,24.7,-77.7667,Hanks place
450,Roebourne,AU,82.29,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
